review_id,company_name,industry,job_title,review_date,overall_rating,pros_text,cons_text
1,Boston Scientific,Healthcare,Process engineer ii,2025-11-07,5.0,Great culture with smart people,Growing pains that come along with a growing organization
2,Boston Scientific,Healthcare,Ep senior mapping specialist,2025-11-02,2.0,"Benefits - good health and dental insurance ESPP - employee stock program available if one chooses to participate Job Security - once you have this job and are trained, even a pandemic will not get you laid off - it takes much too long to train a new employee",Short-Staffed Teams - this company was previously 4th place among mapping systems/ablation technology within the field. BSC is still playing catch up with well-established competitors and is still struggling to hire faster enough to remain competitive when opportunities arise. The mindset to not already have someone hired and trained/ready for that next opportunity will be where major business misses happen. The teams are not even staffed enough to cover and maintain the business that is already established. Expect long hours and no work life balance.
3,Boston Scientific,Healthcare,Manufacturing technician,2025-11-03,5.0,Great work environment A lot of help from upper management They like to hire within Good work life balance A lot of benefits,Projects you worked hard at can get over looked easily by something else. There are definitely favorites within the company from entry lecvek To upper management
4,Boston Scientific,Healthcare,Territory manager,2025-11-08,4.0,Above average pay and great benefits,Work life balance can be challenging
5,Boston Scientific,Healthcare,Senior financial analyst,2025-10-29,2.0,Great pay and some solid benefits,"Culture differs from team to team, really need to improving training method or documentation. Can get crazy workload from the jump and then get minimal support."
6,Boston Scientific,Healthcare,Associate director of engineering,2025-11-05,5.0,"Culture, flexibility, purpose, and growth opportunities.","Compensation, challenging acquisition environment, legacy products."
7,Boston Scientific,Healthcare,Anonymous employee,2025-11-04,1.0,"Good benefits, decent pay, good cafeteria","Lousy training, overburdened trainers, toxic behavior from pc, lousy communication"
8,Boston Scientific,Healthcare,Clinical specialist ii,2025-10-27,2.0,"decent pay good benifits ""unlimited time off"" good hours",very poor management not a lot of innovation field reps are last on priority list for company
9,Boston Scientific,Healthcare,Technician,2025-07-29,4.0,"Good company, benefits and people",If you work in CA you don't get to partake of their Summer Hours program and there are no alternative benefits so you literally lose out. If you are an hourly employee there is no work/life balance at all. Even if you can do 75% of your job from home they will not let you work from home at all meanwhile you will see others at your same level in other States that ARE able to work from home so it really depends on your Manager but they will blame it on someone higher than them for not allowing you to work from home at all. I am a LONG time employee and happy I am close to retirement...
10,Boston Scientific,Healthcare,Sales,2025-11-01,5.0,"Good technology, team and people","Inconsistent quotas, but not crazy"
11,Boston Scientific,Healthcare,Program manager,2025-10-27,5.0,Awesome place to work with a fabulous culture.,"None at this time, things are great."
12,Boston Scientific,Healthcare,Territory manager,2025-10-28,3.0,"They hire great people, lots of resources","Long line to get promoted to management, tough work life balance"
13,Boston Scientific,Healthcare,Customer service representative (csr),2025-10-29,3.0,It pays alright for the job requirements,"Terrible work life balance, moving goalposts on metrics"
14,Boston Scientific,Healthcare,Clinical specialist,2025-09-09,5.0,"Big corporation, great for job security. Plenty of opportunity to pursue adjacent roles in a variety of departments. Learning environment and benefits are top notch. Upper management very accessible.","Big corporation. Easy to get lost in the shuffle. If you are low on the totem pole, expect to go largely unheard. Sales and upper management are competitive, and years of loyalty and plugging away doesn’t mean you will be considered for a promotion."
15,Boston Scientific,Healthcare,Senior financial analyst,2025-10-12,4.0,"Benefits and time off, campus perks, supportive and collaborative environment",Highly matrixed and complex financial systems given the company's growth and acquisitions over the years
16,Boston Scientific,Healthcare,Engineer,2025-10-15,4.0,The work environment was energized and all of the people were extremely supportive,Not as many amenities as other BSC sites
17,Boston Scientific,Healthcare,Director,2025-09-19,5.0,"Mission driven with the patient at the center of all we do. Very innovative and supportive culture. The leadership teams are real people, approachable. Hybrid schedule at 3 days onsite is best in class right now !","My commute is lengthy, but it is worth it. If we moved to 4 days onsite, that would stink!"
18,Boston Scientific,Healthcare,Manager,2025-10-16,3.0,growth opportunities salary and benefits,a lot of recent restructuring project progress is slow due to the approval requirements
19,Boston Scientific,Healthcare,Hr generalist,2025-10-17,4.0,"Healthy work-life balance
Good pay",Sometimes difficulty in advancing careers or changing paths
20,Boston Scientific,Healthcare,Manufacturing engineer i,2025-10-09,3.0,Good training and support systems.,Advancement will be slow. Expect to spend 3 to 4 years with no title change and very little salary growth
21,Boston Scientific,Healthcare,Co-op,2025-10-16,5.0,nice people to work with,"busy, is stress at times"
22,Boston Scientific,Healthcare,Anonymous employee,2025-09-28,1.0,"Speaking about the HQ in Marlborough, specifically Endo - it’s a great place to work if you are a white American or white European: opportunities, preference, first in line for promotions","They will make you miserable if you are not a white American. Lots of micro aggressions, zero opportunities and zero recognition/promotions. They will prioritize white folks. They pride themselves of being diverse and inclusive - that’s just propaganda, only words."
23,Boston Scientific,Healthcare,Engineer,2025-10-09,4.0,good work life balance good career growth,sometime it can be overworked to meet deadlines
24,Boston Scientific,Healthcare,Manager,2025-05-02,3.0,CEO is awesome. Bonus and pay is decent for roles. Some administrative roles pay too much though. Some divisional folks have expertise that are valuable.,"Corporate folks in Boston lack expertise and take large salaries. HR recruiment lacks ability to bring good candidates. Love the CEO but he did allow an unvetted runaway train with DEI... which became an individualized concept of a selfish few with an agenda to be forced upon the whole company. Company appeared to sell DEI, and not well, instead of medIcal devices. Subtantive work suffered due to it. It's odd anyone would think the agenda makes sense for business. Hopefully they get back on track. Social issues are best left out of the main business agenda unless the business goal is to solve them."
25,Boston Scientific,Healthcare,Field clinical representative,2025-10-07,5.0,"Decent pay, excellent NY team","Pay could be higher given hours, weekends, and work load"
26,Boston Scientific,Healthcare,Product builder,2025-08-25,2.0,Benefits are pretty good cost-wise 1st shift gives you the rest of the day to yourself,Terrible pay Their idea of DEI is a joke No one is ever on the same page; you ask one person a question and get a different answer when you ask someone else that's at the same level as them! Lots of favoritism at play when it comes to certain supervisors Don't rely on their word when they say an opportunity is in the future for you
27,Boston Scientific,Healthcare,Manufacturing engineer,2025-09-12,1.0,"The engineers and product builders are not the issue, its upper management that has problems. All of the people I have interacted and worked with (on the engineering level) are genuinely nice and supportive. Everything is about saving money for the corporation, but not taking care of employees mentally or financially.",Just like any other corporation the management team has their favorites and HR turns a blind eye to anything reported against those people. Nobody is held accountable for their actions ethically or professionally.
28,Boston Scientific,Healthcare,Pacemaker technician,2025-10-02,5.0,"Advancing tech field, good education for systems","Dealing with patient and Dr personalities, days can turn long unexpectedly"
29,Boston Scientific,Healthcare,Anonymous employee,2025-10-03,5.0,"good culture, good opportunities for career growth",nothing i can think of
30,Boston Scientific,Healthcare,Builder,2025-09-30,3.0,"Inside promotion, Good coworkers, Nice people, 3 breaks","Pay, Mandatory OT, Feels draining, Absence Points System,"
31,Boston Scientific,Healthcare,Senior group manager,2025-09-10,5.0,The culture at Boston Scientific is amazing. They (appropriately) focus on the patient above all. Second to that is the treatment of their employees. It is the best place that I've worked hands down.,Nothing comes to mind regarding cons.
32,Boston Scientific,Healthcare,Senior manufacturing engineer,2025-10-03,3.0,The company has good benefits.,There is a lack of training.
33,Boston Scientific,Healthcare,Manufacturing engineer,2025-09-27,4.0,Lots of innovative technology and equipment for high precision manufacturing,Hard to make process changes after production release
34,Boston Scientific,Healthcare,Clinical specialist,2025-09-25,3.0,"Flexibility, autonomy, Mangement did not micromanage","Communication about direction of the business was lacking, inconsistent messaging from senior leadership."
35,Boston Scientific,Healthcare,Quality engineer,2025-10-14,1.0,Not worth it no pros,"Bad management , micro manager , quality department manager is worst"
36,Boston Scientific,Healthcare,Project manager,2025-09-25,5.0,Lots of opportunities to advance and learn,"Somewhat hierarchical, can be lots of red tape"
37,Boston Scientific,Healthcare,Senior clinical specialist,2025-07-26,4.0,The products are excellent and they sell themselves/ the sales training team arms you with the necessary materials to succeed,"Retention is terrible because leadership is disconnected from the field and punishes its hardest workers with more hard work. There is a lack of opportunity to make more money and so there is a tendency to see burnout right before someone reaches the end of their contract. When presented with a new contract opportunity, there is no offer to raise the base salary."
38,Boston Scientific,Healthcare,Anonnymous,2025-09-19,5.0,Literally the best company out there. Always eager to help patients and progress further,"No words, absolutely great company!"
39,Boston Scientific,Healthcare,Product builder i,2025-09-21,3.0,"not too hard to learn
only required GED","supervisor has favorite
Management do not care about you"
40,Boston Scientific,Healthcare,Production,2025-09-19,5.0,"Great benefits, caring. Contributes to the well-being of people",Can work a lot of hours
41,Boston Scientific,Healthcare,Product manager ii,2025-09-08,5.0,"Lovely people, inward mobility potential.","Pro and con, but it’s a high performance environment, good if you like being challenged, are a high performer, and have confidence and strong boundaries."
42,Boston Scientific,Healthcare,Sr. software engineer,2025-09-19,5.0,"Healthy culture , supportive team","In office policy , could make it more flexible"
43,Boston Scientific,Healthcare,Regulatory specialist,2025-08-18,1.0,Money and summer Friday flex time.,"The quality system is a house of horrors, both in that it was designed incorrectly and that management holds nonconformities and regulations back from being corrected/implemented through the quality system. Upper management purposely only reacts to external audit findings (such as by FDA, BSI). The internal audits are obviously weak, as glaring errors only continue to perpetuate and cause chaos. Management can't admit the obvious, they just continue with their shady and illogical informal rationales, provided verbally or in email."
44,Boston Scientific,Healthcare,Internal comms and engagement,2025-04-21,5.0,"Working at this organization has been an incredibly rewarding experience. The supportive and collaborative environment created by my colleagues has made every day enjoyable and productive. The organization itself is well-structured and mission-driven, fostering a deep connection to its goals and values. One of the standout aspects is the robust support for professional development and career growth. There are numerous opportunities to learn, grow, and advance within the company, which has significantly contributed to my sense of belonging and commitment to the organization. Overall, the combination of great colleagues, a strong organizational mission, and ample development support makes this a fantastic place to build a career.","A potential con of working for a global organization is the complexity of navigating different cultural norms and communication styles. When working with global teams, employees may encounter varying expectations and practices, which can sometimes lead to misunderstandings or challenges in collaboration. Adapting to diverse work cultures requires sensitivity and flexibility, and it may take time to build effective working relationships across different regions."
45,Boston Scientific,Healthcare,Senior quality supervisor,2025-09-17,4.0,"Terrific Benefits
Great people to work with","Growing too fast
Constant issues with new hires"
46,Boston Scientific,Healthcare,Anonymous employee,2025-09-08,5.0,Boston scientific is a great company to work for and has an outstanding culture,The pay could be higher
47,Boston Scientific,Healthcare,Pilot,2025-09-11,5.0,Great people everywhere you go in the building and coffee is amazing,Parking is far from building
48,Boston Scientific,Healthcare,Computer engineering,2025-09-15,4.0,Its pays the my bills,Its a massive multi level company
49,Boston Scientific,Healthcare,Supplier engineer,2025-09-05,5.0,"Great work life balance, good compensation, great company values, lots of opportunities",Managers can change often because of internal opportunities
