review_id,company_name,industry,job_title,location,employment_status,review_date,overall_rating,rating_work_life_balance,rating_culture_values,rating_compensation_benefits,rating_career_opportunities,rating_senior_management,headline,pros_text,cons_text,advice_to_management,helpful_count,url
1,Bechtel,Infrastructure,Data scientist,,,2025-09-01,5.0,,,,,,,"Great company culture, everyone’s very supportive, great work life balance","No cons here, really great",,,
2,Bechtel,Infrastructure,Administrative assistant,,,2025-08-16,4.0,,,,,,,"Working at Bechtel offers the chance to be part of large, high-profile projects such as government, nuclear, or aerospace initiatives, which can give you a strong sense of purpose and career credibility. • The company provides exposure to a structured corporate environment with established procedures and systems, which can help you develop strong organizational and administrative skills. • As an administrative assistant, you would interact with different departments and project teams, giving you insight into how a major engineering and construction firm operates. • Bechtel often emphasizes safety, compliance, and professionalism, which can create a disciplined and stable work environment. • The role can serve as a stepping stone to other administrative, project support, or coordinator positions within the company, if you want to grow internally.","• Because Bechtel projects are large and highly regulated, the administrative work can sometimes feel rigid, repetitive, or process-heavy, leaving little room for flexibility. • The pace can be demanding, with tight deadlines, frequent meetings, and urgent requests from multiple team members, which may feel overwhelming. • Depending on the project location, office dynamics may feel hierarchical, making it harder for administrative assistants to feel fully appreciated or included in decision-making. • The culture in a male-dominated engineering/construction environment can sometimes feel isolating or intimidating, especially if you value collaboration and inclusivity. • Administrative roles may not offer as much career growth or salary progression compared to technical or project management tracks, unless you actively pivot into other roles.",,,
3,Bechtel,Infrastructure,Senior mechanical engineer,,,2025-11-12,5.0,,,,,,,Excellent pay Good work life balance Great mentors Exciting work,Work instability Not a lot of remote work options,,,
4,Bechtel,Infrastructure,Welder,,,2025-11-12,5.0,,,,,,,Great pay and benefits and safety,Can't trust your supervisors or safety technician,,,
5,Bechtel,Infrastructure,Civil engineer,,,2025-10-29,3.0,,,,,,,"some people are good and many are not good,",boss will have fav people and if its not you then you screwed,,,
6,Bechtel,Infrastructure,Engineer,,,2025-10-22,4.0,,,,,,,You will learn your craft from start to finish. Great experience.,Save up your vacation time to buffer between projects.,,,
7,Bechtel,Infrastructure,Application support associate,,,2025-08-19,1.0,,,,,,,Decent pay/benefits for the actual amount of work you'll need to do.,"Heavy shift back to RTO without actually encouraging face-to-face interaction or offering any kind of incentives (very few office amenities, rarely caters food, no employee events to foster teamwork). Most meetings still done over Teams even with people sitting right next to you. They are not flexible on this, including any arrangements for physical health problems that are exasperated by sitting in an office or making long commutes every day. Questionable path for career growth if you work corporate, as there was often very few new positions and any out-of-state roles required you to live in said state, even if your role was exclusively at a desk.",,,
8,Bechtel,Infrastructure,Rigger (with advanced certification),,,2025-05-18,5.0,,,,,,,"Benefits and pay are ok, just starting with the company, so I can't say much, but from what I see and have heard, it's a solid company to work for. There is potential for promotion. I hope to learn more and move up soon. Diverse culture full of people who want to make a successful living and impact in the Bechtel community.",Unnecessary accidents on worksites. There is a need to implement and require ongoing on-the-job training (for all employees) to ensure that policy and protocol are being adhered to. Proper customer service training for office staff would be useful.,,,
9,Bechtel,Infrastructure,Planner/scheduler,,,2025-10-14,5.0,,,,,,,Pay is better than industry standard,Difficult to stand out in team,,,
10,Bechtel,Infrastructure,Field engineer,,,2025-08-18,4.0,,,,,,,"There are many disciplines to gain experience in. The compensation is high, but so is the demand. It’s a great place to learn new fields of engineering and construction, with a supportive company that takes care of its employees.","It is difficult to move into higher or management positions without a strong network within the company. Certificates and licenses have little impact on promotions, and external experience is not considered a key factor. At Bechtel, years of internal experience carry more weight than advanced degrees, certifications, or achievements earned outside the company.",,,
